round,test_loss,test_acc,norm,independence,balancement,seed,train_acc,train_loss
25,2.059684304647808,0.2141613924050633,GN,noniid,unbalanced,0,0.3140641843839125,1.0583697870373725
26,1.9978891171986544,0.2556665348101265,GN,noniid,unbalanced,0,0.2982309745381707,1.163069628632587
27,2.082859877242317,0.2027195411392405,GN,noniid,unbalanced,0,0.4404945661187172,1.0493386580049993
28,2.0447317232059525,0.2545589398734177,GN,noniid,unbalanced,0,0.2562463463436473,1.1268380287018689
29,2.04750755210466,0.2717167721518987,GN,noniid,unbalanced,0,0.39159689489007,1.0577799431979655
30,2.071468997907035,0.2652096518987342,GN,noniid,unbalanced,0,0.3785540107014504,1.0176235639236189
31,1.99584555731544,0.2965090981012658,GN,noniid,unbalanced,0,0.3209851486342293,1.175726309418678
32,2.0463318992264665,0.2424149525316456,GN,noniid,unbalanced,0,0.3606655612199203,1.0774816073801206
33,2.0189633933803703,0.2561807753164556,GN,noniid,unbalanced,0,0.3068484149061971,1.0289877457751169
34,2.024007956287529,0.2657931170886076,GN,noniid,unbalanced,0,0.2878083380381266,1.0894979176918669
35,2.016556579553628,0.2629746835443038,GN,noniid,unbalanced,0,0.4136073614921834,1.1681750415099992
36,1.9704226625116563,0.2868670886075949,GN,noniid,unbalanced,0,0.3834971875217225,1.069054986205366
37,1.961800977097282,0.2949070411392405,GN,noniid,unbalanced,0,0.3378337715864181,1.0869883187115192
38,2.010027817532986,0.2740803006329114,GN,noniid,unbalanced,0,0.3194428242903489,1.1089846801299317
39,1.997833464719072,0.2864715189873417,GN,noniid,unbalanced,0,0.2964222109553061,1.1303464677773023
40,1.977680482290968,0.2942246835443038,GN,noniid,unbalanced,0,0.3955712219238281,1.2174660006165507
41,1.961435234848457,0.3051424050632911,GN,noniid,unbalanced,0,0.3425233107263391,1.1310049392960289
42,1.992599138127097,0.2652492088607595,GN,noniid,unbalanced,0,0.3509156304911563,1.190543266817143
43,1.950374258771728,0.3029667721518987,GN,noniid,unbalanced,0,0.2558915253939727,1.1474291417747735
44,1.9514483181736133,0.3002768987341772,GN,noniid,unbalanced,0,0.3714269654864356,1.1312189732279097
45,1.979797528665277,0.2889240506329114,GN,noniid,unbalanced,0,0.3949596488135201,1.2063400553805486
46,1.963865863522397,0.3049149525316456,GN,noniid,unbalanced,0,0.3430665207505226,1.1290598090738058
47,1.981292731097982,0.2947685917721518,GN,noniid,unbalanced,0,0.3030532501737276,1.205456950267156
48,1.9616197062444083,0.3012361550632911,GN,noniid,unbalanced,0,0.2900754643586966,1.2214478994791322
