epoch,norm,lr,mm,wd,test_loss,test_accuracy,type
15,BN,0.01,0.5,0.0,0.5511803887287776,0.8291666666666667,used
15,BN,0.01,0.9,1e-05,0.43482631807525945,0.8645333333333333,best
15,GN,0.01,0.5,0.0,0.8717959566911061,0.7004333333333334,used
15,GN,0.01,0.9,1e-05,0.7543978026509285,0.7408333333333333,best
16,BN,0.01,0.5,0.0,0.5078986279169718,0.8455333333333334,used
16,BN,0.01,0.9,1e-05,0.44480975906054177,0.8674666666666667,best
16,GN,0.01,0.5,0.0,0.9358023738861085,0.6808333333333333,used
16,GN,0.01,0.9,1e-05,0.6905127442876497,0.7601,best
17,BN,0.01,0.5,0.0,0.48209193016091983,0.8521333333333333,used
17,BN,0.01,0.9,1e-05,0.3809121656914552,0.8833333333333333,best
17,GN,0.01,0.5,0.0,0.8113644073406855,0.7215666666666666,used
17,GN,0.01,0.9,1e-05,0.6168531915545463,0.7897666666666666,best
18,BN,0.01,0.5,0.0,0.5006155007580916,0.8475333333333334,used
18,BN,0.01,0.9,1e-05,0.38671444321672116,0.8845999999999999,best
18,GN,0.01,0.5,0.0,0.767526364227136,0.7442333333333334,used
18,GN,0.01,0.9,1e-05,0.6303782659769058,0.7838666666666666,best
19,BN,0.01,0.5,0.0,0.49712883661190665,0.8520333333333334,used
19,BN,0.01,0.9,1e-05,0.46274754747748376,0.8696333333333334,best
19,GN,0.01,0.5,0.0,0.7756643058856328,0.7410666666666668,used
19,GN,0.01,0.9,1e-05,0.6324035717050234,0.7890666666666667,best
20,BN,0.01,0.5,0.0,0.46140211453040436,0.8621333333333333,used
20,BN,0.01,0.9,1e-05,0.3996403449277082,0.8813333333333334,best
20,GN,0.01,0.5,0.0,0.6782260677218437,0.7700333333333335,used
20,GN,0.01,0.9,1e-05,0.5621364284555117,0.8103666666666666,best
21,BN,0.01,0.5,0.0,0.3673191060125827,0.8903,used
21,BN,0.01,0.9,1e-05,0.31865649660428363,0.9117666666666667,best
21,GN,0.01,0.5,0.0,0.5518901074926058,0.8111,used
21,GN,0.01,0.9,1e-05,0.4865156714121501,0.8343333333333334,best
22,BN,0.01,0.5,0.0,0.3755149935682614,0.8921666666666667,used
22,BN,0.01,0.9,1e-05,0.33233450248837465,0.9118666666666666,best
