norm,independence,balancement,round,lr,mm,wd,test_accuracy,test_loss,type
BN,iid,balanced,22.0,0.01,0.9,1e-05,0.26453333333333334,1.9252885766170198,best
BN,iid,balanced,23.0,0.01,0.5,0.0,0.3915,1.6336657442624054,used
BN,iid,balanced,23.0,0.01,0.9,1e-05,0.31056666666666666,1.7916396951876612,best
BN,iid,balanced,24.0,0.01,0.5,0.0,0.37420000000000003,1.6450521915773801,used
BN,iid,balanced,24.0,0.01,0.9,1e-05,0.34900000000000003,1.7213991618860625,best
BN,iid,balanced,25.0,0.01,0.5,0.0,0.4033666666666667,1.6030806966974767,used
BN,iid,balanced,25.0,0.01,0.9,1e-05,0.3437333333333334,1.7384807565544227,best
BN,iid,balanced,26.0,0.01,0.5,0.0,0.4086666666666667,1.5665832078909572,used
BN,iid,balanced,26.0,0.01,0.9,1e-05,0.3283,1.786744917998334,best
BN,iid,balanced,27.0,0.01,0.5,0.0,0.42086666666666667,1.5611906680376721,used
BN,iid,balanced,27.0,0.01,0.9,1e-05,0.3502666666666667,1.7132818140561066,best
BN,iid,balanced,28.0,0.01,0.5,0.0,0.4252666666666667,1.5500482396234438,used
BN,iid,balanced,28.0,0.01,0.9,1e-05,0.37256666666666666,1.6698423930864292,best
BN,iid,balanced,29.0,0.01,0.5,0.0,0.4350333333333333,1.5260084736699293,used
BN,iid,balanced,29.0,0.01,0.9,1e-05,0.3742666666666667,1.66788802468827,best
BN,iid,balanced,30.0,0.01,0.5,0.0,0.44103333333333333,1.5038567449473128,used
BN,iid,balanced,30.0,0.01,0.9,1e-05,0.37493333333333334,1.6660911061089754,best
BN,iid,balanced,31.0,0.01,0.5,0.0,0.4504666666666666,1.4881146059760564,used
BN,iid,balanced,31.0,0.01,0.9,1e-05,0.3931,1.6145374925830696,best
BN,iid,balanced,32.0,0.01,0.5,0.0,0.4428,1.493185740985951,used
BN,iid,balanced,32.0,0.01,0.9,1e-05,0.3728666666666667,1.6677305758753909,best
