norm,independence,balancement,round,test_accuracy,test_loss,train_loss,seed,lr,mm,wd
BN,iid,balanced,33.0,0.4739,1.4286144096640092,1.6879332206249238,0,0.01,0.5,0.0
BN,iid,balanced,34.0,0.4986,1.380944762048842,1.6513823029994967,0,0.01,0.5,0.0
BN,iid,balanced,35.0,0.4773,1.4084537889384017,1.640034281373024,0,0.01,0.5,0.0
BN,iid,balanced,36.0,0.4887,1.3879447888724412,1.6140742583274843,0,0.01,0.5,0.0
BN,iid,balanced,37.0,0.5019,1.3585613664192489,1.588028969526291,0,0.01,0.5,0.0
BN,iid,balanced,38.0,0.5076,1.342658061015455,1.5759631860256196,0,0.01,0.5,0.0
BN,iid,balanced,39.0,0.5178,1.3193406334406212,1.5831701682806014,0,0.01,0.5,0.0
BN,iid,balanced,40.0,0.5118,1.3149487489386449,1.576389584064484,0,0.01,0.5,0.0
BN,iid,balanced,41.0,0.5259,1.284130473680134,1.521075403213501,0,0.01,0.5,0.0
BN,iid,balanced,42.0,0.5317,1.2693910553485532,1.524850387811661,0,0.01,0.5,0.0
BN,iid,balanced,43.0,0.5216,1.3026788687404198,1.527154120206833,0,0.01,0.5,0.0
BN,iid,balanced,44.0,0.5388,1.2598043001150785,1.5067824357748032,0,0.01,0.5,0.0
BN,iid,balanced,45.0,0.5261,1.2763780777967428,1.5062414017915726,0,0.01,0.5,0.0
BN,iid,balanced,46.0,0.5502,1.2293925240070005,1.469858643293381,0,0.01,0.5,0.0
BN,iid,balanced,47.0,0.5523,1.2201369668863995,1.4734450163841246,0,0.01,0.5,0.0
BN,iid,balanced,48.0,0.5468,1.2255689705474466,1.4723022834062576,0,0.01,0.5,0.0
BN,iid,balanced,49.0,0.5521,1.2058252473420734,1.4427926815748218,0,0.01,0.5,0.0
BN,iid,balanced,50.0,0.5681,1.174334297451792,1.430252336382866,0,0.01,0.5,0.0
BN,noniid,balanced,1.0,0.1,2.556699381598944,2.039061404332519,0,0.01,0.5,0.0
BN,noniid,balanced,2.0,0.1,2.8944867321207552,1.6942689992636442,0,0.01,0.5,0.0
BN,noniid,balanced,3.0,0.1,2.611887841285029,1.367322836369276,0,0.01,0.5,0.0
BN,noniid,balanced,4.0,0.1345,2.507361309437812,1.148125194810331,0,0.01,0.5,0.0
BN,noniid,balanced,5.0,0.0995,2.7399824812442444,1.0081548841893673,0,0.01,0.5,0.0
BN,noniid,balanced,6.0,0.1071,2.9032693784448167,0.9034219584465027,0,0.01,0.5,0.0
BN,noniid,balanced,7.0,0.1241,2.752290405804598,0.8719943084567785,0,0.01,0.5,0.0
BN,noniid,balanced,8.0,0.1238,2.936758853212188,0.8576260039433837,0,0.01,0.5,0.0
BN,noniid,balanced,9.0,0.1451,2.804203600823125,0.8017512727975845,0,0.01,0.5,0.0
BN,noniid,balanced,10.0,0.1572,2.737720549861088,0.7475048836767674,0,0.01,0.5,0.0
BN,noniid,balanced,11.0,0.1494,2.7802023223683805,0.74535596447438,0,0.01,0.5,0.0
BN,noniid,balanced,12.0,0.141,2.7409493259236783,0.7513668337818236,0,0.01,0.5,0.0
BN,noniid,balanced,13.0,0.1476,2.669796611689314,0.7122338317036628,0,0.01,0.5,0.0
BN,noniid,balanced,14.0,0.1662,2.8116975102243544,0.710622778467834,0,0.01,0.5,0.0
BN,noniid,balanced,15.0,0.1628,2.7008681689636616,0.7185268233567477,0,0.01,0.5,0.0
BN,noniid,balanced,16.0,0.1747,3.0788046106507507,0.679045172393322,0,0.01,0.5,0.0
BN,noniid,balanced,17.0,0.1586,2.6520800741412973,0.6830937457680701,0,0.01,0.5,0.0
BN,noniid,balanced,18.0,0.1719,2.702943451796906,0.6511653994992375,0,0.01,0.5,0.0
BN,noniid,balanced,19.0,0.1653,2.82473344138906,0.6702832166105509,0,0.01,0.5,0.0
BN,noniid,balanced,20.0,0.173,4.832994575741925,0.6431451287269593,0,0.01,0.5,0.0
