norm,independence,balancement,seed,round,test_accuracy,test_loss,train_loss
BN,iid,balanced,0,39,0.5887,1.5653260659567918,0.4921021714061499
BN,iid,balanced,0,40,0.5916,1.5454559537428845,0.4958425906300545
BN,iid,balanced,0,41,0.5952,1.5790783906284767,0.4696210227906704
BN,iid,balanced,0,42,0.5919,1.577398211141176,0.4529320616275072
BN,iid,balanced,0,43,0.605,1.5549747823159905,0.42004508510231975
BN,iid,balanced,0,44,0.5965,1.6134303944020332,0.40795353904366494
BN,iid,balanced,0,45,0.5983,1.6128007369705393,0.3852583812549711
BN,iid,balanced,0,46,0.608,1.5700569892231422,0.3492540444433689
BN,iid,balanced,0,47,0.5974,1.6634584665298462,0.34770564714446656
BN,iid,balanced,0,48,0.605,1.6513200877588006,0.3191624432429671
BN,iid,balanced,0,49,0.6011,1.7030652701100217,0.3316435237228871
BN,iid,balanced,0,50,0.6005,1.7336647178553328,0.32621648635715245
BN,iid,balanced,479,1,0.1067,2.4152539108372943,2.802478821277618
BN,iid,balanced,479,2,0.1077,2.720124546485611,2.555410712957382
BN,iid,balanced,479,3,0.1374,2.7171449751793584,2.309307461977005
BN,iid,balanced,479,4,0.189,2.5202232342732103,2.126460358500481
BN,iid,balanced,479,5,0.2176,2.3697255019900165,2.003746869564057
BN,iid,balanced,479,6,0.2197,2.34038197239743,1.9177180355787276
BN,iid,balanced,479,7,0.2655,2.1441695901411997,1.8347195965051655
BN,iid,balanced,479,8,0.3006,2.0081185434438007,1.7381706255674363
BN,iid,balanced,479,9,0.3043,2.023587812351275,1.6945571762323381
BN,iid,balanced,479,10,0.3586,1.8127797268613983,1.6307940655946733
BN,iid,balanced,479,11,0.3783,1.7530462862570075,1.5701296067237853
BN,iid,balanced,479,12,0.4044,1.6702665648882902,1.5300674378871917
BN,iid,balanced,479,13,0.4184,1.671466433549229,1.457717255949974
BN,iid,balanced,479,14,0.4194,1.6631485887720614,1.4131779336929322
BN,iid,balanced,479,15,0.4452,1.5996719387513172,1.3556395709514617
BN,iid,balanced,479,16,0.4602,1.5875496290907074,1.333009040951729
BN,iid,balanced,479,17,0.4742,1.5501160395296314,1.2812111431360245
BN,iid,balanced,479,18,0.4907,1.5083323324782938,1.233159328699112
BN,iid,balanced,479,19,0.494,1.5040835338302805,1.1926836907863616
BN,iid,balanced,479,20,0.4975,1.498796227612073,1.1520958322286607
BN,iid,balanced,479,21,0.4963,1.547945261001587,1.1085805293917654
BN,iid,balanced,479,22,0.5037,1.52009557168695,1.086137288212776
BN,iid,balanced,479,23,0.5173,1.4683098762850217,1.0361720347404482
BN,iid,balanced,479,24,0.5212,1.4784704039368448,0.9975462260842324
BN,iid,balanced,479,25,0.5244,1.4860943148407755,0.9685934537649155
BN,iid,balanced,479,26,0.5323,1.4878868679457073,0.9287000873684883
BN,iid,balanced,479,27,0.5334,1.4960937107665628,0.8919252072274686
BN,iid,balanced,479,28,0.5488,1.482489889181113,0.8624907353520394
BN,iid,balanced,479,29,0.544,1.536642200584653,0.8340864989161492
BN,iid,balanced,479,30,0.5437,1.5688782507860208,0.8082148136198521
BN,iid,balanced,479,31,0.5493,1.5539094104042537,0.7693930114805698
BN,iid,balanced,479,32,0.5629,1.4702888183955904,0.7491446448862553
BN,iid,balanced,479,33,0.5609,1.5036041691333433,0.7009631407260895
BN,iid,balanced,479,34,0.5623,1.5635049282749998,0.683001173362136
BN,iid,balanced,479,35,0.57,1.5450287695172467,0.6682143194973469
BN,iid,balanced,479,36,0.5612,1.566907541661323,0.6318934178352356
BN,iid,balanced,479,37,0.5697,1.5461515837077853,0.5954404114186764
BN,iid,balanced,479,38,0.5738,1.5658262424831149,0.5693679915368556
BN,iid,balanced,479,39,0.5785,1.613834790036648,0.5508241142332555
BN,iid,balanced,479,40,0.5752,1.6018003587481342,0.5333202201128006
BN,iid,balanced,479,41,0.5851,1.5879430514347703,0.5109725712239742
BN,iid,balanced,479,42,0.5905,1.593008798888967,0.4705778318643571
BN,iid,balanced,479,43,0.5836,1.6460009451153912,0.4565598419308662
BN,iid,balanced,479,44,0.5967,1.5955165911324416,0.4335729090869426
BN,iid,balanced,479,45,0.5907,1.6392037400716468,0.4315754489600658
BN,iid,balanced,479,46,0.5921,1.6371053125284896,0.405454411059618
BN,iid,balanced,479,47,0.5899,1.6878796016113669,0.37382170524448155
BN,iid,balanced,479,48,0.5957,1.6962153202370753,0.3778934201225638
BN,iid,balanced,479,49,0.6038,1.6814186708836616,0.3467235957086086
BN,iid,balanced,479,50,0.5972,1.6930587804770167,0.3592244732752442
BN,iid,balanced,128,1,0.1,2.3983671423755113,2.744748319387436
BN,iid,balanced,128,2,0.1036,2.660054291350932,2.572478748559952
BN,iid,balanced,128,3,0.1338,2.7914233841473544,2.3461156803369523
BN,iid,balanced,128,4,0.1764,2.621026751361316,2.140200510621071
BN,iid,balanced,128,5,0.1959,2.3832284860973116,2.0400824290513992
BN,iid,balanced,128,6,0.2235,2.2752888338475286,1.9701665502786636
BN,iid,balanced,128,7,0.2416,2.269084815737567,1.8870230442285538
BN,iid,balanced,128,8,0.2852,2.0864243779001357,1.8093127739429473
BN,iid,balanced,128,9,0.308,2.0043378419513944,1.745952659845352
BN,iid,balanced,128,10,0.3422,1.874791837945769,1.6656353622674942
BN,iid,balanced,128,11,0.3781,1.7528111557417279,1.585960473418236
