round,accuracy,loss,norm,scenario,hp
19.0,0.7410666666666668,0.7756643058856328,GN,centralized, nan
20.0,0.8621333333333333,0.4614021145304043,BN,centralized, nan
20.0,0.7700333333333335,0.6782260677218437,GN,centralized, nan
21.0,0.8903,0.3673191060125827,BN,centralized, nan
21.0,0.8111,0.5518901074926058,GN,centralized, nan
22.0,0.8921666666666667,0.3755149935682614,BN,centralized, nan
22.0,0.8198,0.5336741590499878,GN,centralized, nan
23.0,0.8887666666666666,0.3946722239752609,BN,centralized, nan
23.0,0.8155000000000001,0.5400319967667263,GN,centralized, nan
24.0,0.8923666666666666,0.3844863783319791,BN,centralized, nan
24.0,0.8178000000000001,0.5362665660182634,GN,centralized, nan
25.0,0.8918666666666667,0.4036006779472033,BN,centralized, nan
25.0,0.8159333333333333,0.5393935018281142,GN,centralized, nan
26.0,0.8904333333333333,0.4045837274690469,BN,centralized, nan
26.0,0.8271666666666667,0.5097575612862905,GN,centralized, nan
27.0,0.8929,0.4092813119292258,BN,centralized, nan
27.0,0.8262,0.5126375750203928,GN,centralized, nan
28.0,0.8931333333333334,0.4107161255180835,BN,centralized, nan
28.0,0.8249333333333334,0.5235047965248426,GN,centralized, nan
29.0,0.8910333333333335,0.4205945323159297,BN,centralized, nan
29.0,0.8250666666666667,0.5159510420759519,GN,centralized, nan
30.0,0.8884333333333334,0.4416561044255893,BN,centralized, nan
30.0,0.8346666666666666,0.4864440528551736,GN,centralized, nan
31.0,0.8990666666666667,0.4003696121027071,BN,centralized, nan
31.0,0.8506,0.4499630080660184,GN,centralized, nan
32.0,0.9001666666666667,0.4035017276803652,BN,centralized, nan
32.0,0.8470333333333334,0.4582999042173226,GN,centralized, nan
33.0,0.8992,0.405132314885656,BN,centralized, nan
33.0,0.8512,0.4522556781768799,GN,centralized, nan
34.0,0.9,0.4148522574702898,BN,centralized, nan
34.0,0.8527666666666667,0.4444524448116621,GN,centralized, nan
35.0,0.8997666666666667,0.4195860373973846,BN,centralized, nan
35.0,0.8484000000000002,0.4662646640837192,GN,centralized, nan
