round,lr,weight_decay,momentum,model,norm,independence,balancement,loss,accuracy
21,0.1,0.001,0,ResNet50,GN,iid,balanced,1.966840435266495,0.26986666666666664
21,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.5143352075258893,0.1014
21,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.808679796854655,0.10000000000000002
22,0.1,0.001,0,ResNet50,BN,iid,balanced,1.3707790237665176,0.38430000000000003
22,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
22,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
22,0.1,0.001,0,ResNet50,GN,iid,balanced,1.9540699244181312,0.27436666666666665
22,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.4567216157277425,0.10000000000000002
22,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.6196930368741356,0.10370000000000001
23,0.1,0.001,0,ResNet50,BN,iid,balanced,1.2562869134545327,0.4126333333333334
23,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
23,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
23,0.1,0.001,0,ResNet50,GN,iid,balanced,1.9412196742693582,0.28006666666666663
23,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.42167381811142,0.10100000000000002
23,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.749837940533956,0.10000000000000002
24,0.1,0.001,0,ResNet50,BN,iid,balanced,1.252123780846596,0.4237
24,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
24,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
24,0.1,0.001,0,ResNet50,GN,iid,balanced,1.9335040075620016,0.2793666666666666
24,0.1,0.001,0,ResNet50,GN,noniid,balanced,2.429295939540863,0.10523333333333333
24,0.1,0.001,0,ResNet50,GN,noniid,unbalanced,2.5701852893829344,0.09986666666666666
25,0.1,0.001,0,ResNet50,BN,iid,balanced,1.209683863123258,0.5991666666666666
25,0.1,0.001,0,ResNet50,BN,noniid,balanced,,0.10000000000000002
25,0.1,0.001,0,ResNet50,BN,noniid,unbalanced,,0.10000000000000002
25,0.1,0.001,0,ResNet50,GN,iid,balanced,1.92137797943751,0.2927
