round,norm,scenario,model,accuracy,loss
21,,feddyn iid balanced,CNN,0.6931333333333334,0.9022621570030848
21,,feddyn noniid balanced,CNN,0.1203,2.928057746092479
21,,feddyn noniid unbalanced,CNN,0.11336666666666667,3.425349428653717
22,,feddyn iid balanced,CNN,0.6980000000000001,0.8897531656424205
22,,feddyn noniid balanced,CNN,0.10773333333333333,3.5144477868080144
22,,feddyn noniid unbalanced,CNN,0.1102,2.9062892810503644
23,,feddyn iid balanced,CNN,0.7000666666666667,0.8918639415502548
23,,feddyn noniid balanced,CNN,0.12163333333333333,3.5533622066179915
23,,feddyn noniid unbalanced,CNN,0.11586666666666667,3.0936565303802492
24,,feddyn iid balanced,CNN,0.7083666666666666,0.8684251618385316
24,,feddyn noniid balanced,CNN,0.1434,2.9324662431081134
24,,feddyn noniid unbalanced,CNN,0.12486666666666667,2.5243644054730736
25,,feddyn iid balanced,CNN,0.7091666666666666,0.8575613101323446
25,,feddyn noniid balanced,CNN,0.12226666666666668,3.241149152119954
25,,feddyn noniid unbalanced,CNN,0.13933333333333334,2.382466167608897
26,,feddyn iid balanced,CNN,0.7159666666666668,0.8483237569530805
26,,feddyn noniid balanced,CNN,0.1285666666666667,2.6427360852559407
26,,feddyn noniid unbalanced,CNN,0.11359999999999999,3.1085029649734497
27,,feddyn iid balanced,CNN,0.7156000000000001,0.8496392412980397
27,,feddyn noniid balanced,CNN,0.12733333333333333,5.605798046588897
27,,feddyn noniid unbalanced,CNN,0.10260000000000001,4.877959238688152
28,,feddyn iid balanced,CNN,0.7208333333333333,0.8369664975007375
28,,feddyn noniid balanced,CNN,0.10943333333333334,2.974031887054443
28,,feddyn noniid unbalanced,CNN,0.12246666666666665,3.797366080284119
29,,feddyn iid balanced,CNN,0.7257333333333333,0.8136208871006966
29,,feddyn noniid balanced,CNN,0.1334,3.257833387851715
29,,feddyn noniid unbalanced,CNN,0.11576666666666667,3.282930111885071
30,,feddyn iid balanced,CNN,0.7258999999999999,0.8218983592589696
30,,feddyn noniid balanced,CNN,0.10973333333333334,3.885627563794454
30,,feddyn noniid unbalanced,CNN,0.1411,3.093084382216136
31,,feddyn iid balanced,CNN,0.7329,0.8069533027211825
31,,feddyn noniid balanced,CNN,0.13533333333333333,3.093654322624207
31,,feddyn noniid unbalanced,CNN,0.1335333333333333,3.682126526832581
32,,feddyn iid balanced,CNN,0.7314333333333333,0.8050416508316994
32,,feddyn noniid balanced,CNN,0.13866666666666666,3.900651388963063
32,,feddyn noniid unbalanced,CNN,0.15346666666666667,3.1383943025271095
