round,scenario,accuracy,loss
3.0,fedgktCE,0.4630439082278481,2.257503230008395
4.0,fedgktCE,0.4840058016877637,2.056835735799894
5.0,fedgktCE,0.4965783227848101,1.932191718781548
6.0,fedgktCE,0.5093222573839663,1.8694106447545789
7.0,fedgktCE,0.529891877637131,1.794694638403156
8.0,fedgktCE,0.5428863396624473,1.7358595078001544
9.0,fedgktCE,0.5494494989451476,1.699640326283652
10.0,fedgktCE,0.5636141877637131,1.6423668626994523
11.0,fedgktCE,0.5695806962025317,1.6018661755549757
12.0,fedgktCE,0.5810225474683545,1.555301657658589
13.0,fedgktCE,0.5954542457805907,1.5058609210111922
14.0,fedgktCE,0.6015987605485232,1.4696303102789046
15.0,fedgktCE,0.6077267932489452,1.4223438586363812
16.0,fedgktCE,0.6168413765822786,1.389167815924697
17.0,fedgktCE,0.6204278744725739,1.400374765536956
18.0,fedgktCE,0.6295523470464135,1.3555588891486074
19.0,fedgktCE,0.6376582278481012,1.328787798355903
20.0,fedgktCE,0.6443070938818565,1.3015361171105742
21.0,fedgktCE,0.6563983386075948,1.263276269478637
22.0,fedgktCE,0.6582146624472575,1.2547186011629268
23.0,fedgktCE,0.6594969672995782,1.2632079049316136
24.0,fedgktCE,0.6667787447257384,1.2154028711188192
25.0,fedgktCE,0.6744560917721519,1.1894639906878213
26.0,fedgktCE,0.6800402162447258,1.1609797201076135
27.0,fedgktCE,0.6847474947257384,1.138033140441285
28.0,fedgktCE,0.6890295358649788,1.12471575216402
29.0,fedgktCE,0.6927841508438819,1.11689753509775
30.0,fedgktCE,0.6981737869198312,1.1095786382377402
31.0,fedgktCE,0.702521756329114,1.080807930419717
32.0,fedgktCE,0.7076509757383965,1.0690448972683415
33.0,fedgktCE,0.712981276371308,1.054898121097923
34.0,fedgktCE,0.7154404008438817,1.0419749531124716
35.0,fedgktCE,0.7185489187763713,1.0167021297327077
36.0,fedgktCE,0.7218684071729958,0.9990794964103256
37.0,fedgktCE,0.73160930907173,0.975292165784896
38.0,fedgktCE,0.734704641350211,0.9616379695854108
39.0,fedgktCE,0.7400975738396625,0.9490167303050118
40.0,fedgktCE,0.7361946202531646,0.9545934380861274
41.0,fedgktCE,0.7443301687763713,0.92758237847799
42.0,fedgktCE,0.7487407700421942,0.9158811009233574
43.0,fedgktCE,0.7462223101265822,0.9231802891892724
44.0,fedgktCE,0.7523107858649789,0.908648077074737
45.0,fedgktCE,0.7555643459915612,0.8946353748503616
46.0,fedgktCE,0.7596354166666667,0.8892751918123242
47.0,fedgktCE,0.760696861814346,0.8731936262724017
48.0,fedgktCE,0.7615737078059072,0.8683562581109096
49.0,fedgktCE,0.7652986550632911,0.8603541351068875
50.0,fedgktCE,0.7678929324894516,0.8456614950601059
1.0,fedgktCE+KD,0.2614562302528829,2.070771342422765
2.0,fedgktCE+KD,0.3191006131642753,1.9608097012861607
3.0,fedgktCE+KD,0.3542271954427563,1.8799735749646824
4.0,fedgktCE+KD,0.3834663832064695,1.8062507204691307
